brand|model|name|price_from|credit_month|benefit|engine|transmission|drive|in_stock|url
Foton|Tunland|Foton Tunland|1709900|23330|435000|2.8 л|5 MT|Полный|1|https://skayavto.ru/catalog/foton/tunland
Foton|Tunland G7|Futon Tunland G7|2950000|40249|450000|2 л|8AT|Полный|1|https://skayavto.ru/catalog/foton/tunland-g7
GAC|Aion V|GAC Aion V|1925000|26264||0 л|AT|Передний|0|https://skayavto.ru/catalog/gac/aion-v
GAC|GS3|GAC GS3|1925000|26264|365000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/gac/gs3
GAC|GS4|GAC GS4|2625000|35815|674000|1.5-2 л|AMT, AT|Передний, Полный|1|https://skayavto.ru/catalog/gac/gs4
GAC|Empow|GAC Empow|2755000|37589|344000|1.5 л|AMT|Передний|1|https://skayavto.ru/catalog/gac/empow
GAC|GS4 Max|GAC GS4 Max|2866000|39103|274000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/gac/gs4-max
GAC|GN8|GAC GN8|3375000|46048|545000|2 л|6AT|Передний|1|https://skayavto.ru/catalog/gac/gn8
GAC|GS8 II|GAC GS8 II|3609000|49241|490000|2 л|8AT|Полный|1|https://skayavto.ru/catalog/gac/gs8-ii
GAC|GS8|GAC GS8|3724000|50810|675000|2 л|AT|Полный|1|https://skayavto.ru/catalog/gac/gs8
GAC|S7|Gac S7|5535000|75518|164000|1.5 л|AT|Полный|1|https://skayavto.ru/catalog/gac/s7
GAC|M8|GAC M8|5724999|78111|275000|2 л|AT|Передний|1|https://skayavto.ru/catalog/gac/m8
Geely|Emgrand|Geely Emgrand|1574990|21489|605000|1.5 л|5MT, 6AT|Передний|1|https://skayavto.ru/catalog/geely/emgrand
Geely|Atlas Pro|Geely Atlas Pro|1831990|24995|1005000|1.5 л|6AT, 7DCT|Передний, Полный|1|https://skayavto.ru/catalog/geely/atlas-pro
Geely|Coolray|Geely Coolray|1959990|26742|835000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/geely/coolray
Geely|Cityray|Geely Cityray|1979990|27015|870000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/geely/cityray
Geely|Knewstar 001|Geely Knewstar 001|2398990|32731|1397000|2 л|8AT|Полный|1|https://skayavto.ru/catalog/geely/knewstar
Geely|New Coolray|Geely New Coolray|2409990|32881|385000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/geely/new
Geely|Galaxy L7|Geely Galaxy L7|2473000|33741|527000|1.5 л|3AT|Передний|1|https://skayavto.ru/catalog/geely/galaxy-l7
Geely|Atlas|Geely Atlas|2566990|35024|883000|1.5-2 л|8AT, AMT|Передний, Полный|1|https://skayavto.ru/catalog/geely/atlas
Geely|Icon|Geely Icon|2679000|36552|474000|1.5 л|6AT, 7DCT|Передний|1|https://skayavto.ru/catalog/geely/icon
Geely|Okavango|Geely Okavango|2850990|38898|1058000|2 л|7DCT|Передний|1|https://skayavto.ru/catalog/geely/okavango
Geely|Preface|Geely Preface|2956990|40345|373000|2 л|7DCT|Передний|1|https://skayavto.ru/catalog/geely/preface
Geely|New Tugella|Geely New Tugella|3132990|42746|827000|2 л|8AT|Полный|1|https://skayavto.ru/catalog/geely/new-tugella
Geely|Monjaro|Geely Monjaro|3259990|44479|1340000|2 л|AT|Полный|1|https://skayavto.ru/catalog/geely/monjaro
Geely|EX5|Geely EX5|3475990|47426|694000|0 л|AT|Передний|1|https://skayavto.ru/catalog/geely/geely-ex5
Geely|EX5 EM-i|Geely EX5 EM-i|3594990|49049|75000|1.5 л|AT|Передний|1|https://skayavto.ru/catalog/geely/geely-ex5-em-i
Great Wall|Poer Kingkong|Great Wall Poer Kingkong|2674000|36484|625000|2-2 л|6MT|Полный|1|https://skayavto.ru/catalog/great-wall/poer-kingkong
Great Wall|Poer|Great Wall Poer|3059000|41736|490000|2 л|6MT, 8AT|Полный|1|https://skayavto.ru/catalog/great-wall/poer
Haima|8s|Haima 8s|2760000|37657|440000|1.6 л|6AT|Передний|1|https://skayavto.ru/catalog/haima/8s
Haima|7x|Haima 7x|3130000|42705|470000|1.6 л|6AT|Передний|1|https://skayavto.ru/catalog/haima/7x
Haval|M6|Haval M6|1624000|22158|425000|1.5 л|6MT, 7AMT|Передний|1|https://skayavto.ru/catalog/haval/m6
Haval|Big Dog|Haval Big Dog|1774000|24204||0 л|* Привод|* Клиренс мм|0|https://skayavto.ru/catalog/haval/bigdog
Haval|H6 PHEV|Haval H6 PHEV|1774000|24204||1.5 л|DHT|Передний|0|https://skayavto.ru/catalog/haval/phev
Haval|Jolion|Haval Jolion|1774000|24204|225000|1.5-1.5 л|6MT, 7DCT|Передний, Полный|1|https://skayavto.ru/catalog/haval/jolion
Haval|H6|Haval H6|1775000|24218|265000|1.5-2 л|7DCT|Передний, Полный|1|https://skayavto.ru/catalog/haval/h6
Haval|H3|Haval H3|2364000|32254|335000|1.5-1.5 л|AMT|Передний, Полный|1|https://skayavto.ru/catalog/haval/h3
Haval|F7|Haval F7|2459000|33550|340000|1.5-2 л|7DCT|Передний, Полный|1|https://skayavto.ru/catalog/haval/f7
Haval|Dargo|Haval Dargo|2524000|34437|525000|2 л|7DCT|Передний, Полный|1|https://skayavto.ru/catalog/haval/dargo
Haval|Dargo X|Haval Dargo X|2634000|35938|715000|2 л|7DCT|Полный|1|https://skayavto.ru/catalog/haval/dargo-x
Haval|F7x|Haval F7x|3074000|41941|525000|2 л|AMT|Полный|1|https://skayavto.ru/catalog/haval/f7x
Haval|H5|Haval H5|3304000|45079|395000|2-2 л|8AT|Полный|1|https://skayavto.ru/catalog/haval/h5-new
Haval|H7|Haval H7|3724000|50810|275000|2 л|AMT|Полный|1|https://skayavto.ru/catalog/haval/haval-h7
Haval|H9 II|Haval H9 II|4244000|57904|555000|2 л|8AT|Полный|1|https://skayavto.ru/catalog/haval/h9
Honda|CR-V|Honda CR-V|4085000|55735|225000|2-2 л|CVT|Полный|1|https://skayavto.ru/catalog/honda/cr-v
Hongqi|HS3|Hongqi HS3|2815000|38407|275000|1.5-2 л|7DCT, 8AT|Передний, Полный|1|https://skayavto.ru/catalog/hongqi/hs3
